price,rooms,area_m2,floor,has_document,address,avtodayanacaq,balkon,duzelme,esyali,hovuz,internet,isiq,kabel_tv,kombi,kondisioner,lift,merkezi_qizdirici_sistem,metbex_mebeli,pvc_pencere,qaz,su,telefon,temirli,rooms_group,rooms_group_code
92000,2.0,65.0,4.0,No,Xırdalan,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1-2,1
108000,2.0,56.0,2.0,Yes,Xırdalan,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1-2,1
65000,2.0,56.0,6.0,Yes,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
99000,3.0,70.0,3.0,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
350000,3.0,167.0,5.0,No,"Bakı, Nərimanov, metro Gənclik",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3-4,2
105000,4.0,135.0,6.0,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3-4,2
80000,2.0,52.0,1.0,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,1-2,1
137500,3.0,97.0,2.0,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,3-4,2
195000,3.0,90.0,7.0,Yes,"Bakı, Nizami, metro Qara Qarayev",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
349695,3.0,122.7,9.0,No,"Bakı, Nəsimi, metro 28 May",Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,3-4,2
110000,2.0,60.0,12.0,No,Xırdalan,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1-2,1
72000,2.0,44.0,3.0,No,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,1-2,1
95000,3.0,73.0,4.0,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3-4,2
118000,2.0,65.0,10.0,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1-2,1
108000,2.0,55.0,3.0,Yes,Xırdalan,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1-2,1
120000,3.0,83.0,8.0,Yes,Xırdalan,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3-4,2
